脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
蝴蝶@姑娘@蝴蝶像一位美丽的姑娘	在花丛中跳着迷人的舞姿。
头发@枯草@稀疏的头发已经花白，像被霜染过的枯草	岁月的坎坷使他过早地衰老，
霹雳@炸弹@一声霹雳之后像炸弹甩过半空爆炸	给人间留下辉煌的一瞬。
星星@眼睛@天上的星星像孩童的眼睛	一眨一眨的。
快乐@歌@快乐是一首歌	奏着高低不一的音符。
春雨@细丝@春雨像细丝	密密地斜织着。
掌声@灯塔@掌声，是一座灯塔	能照亮黑暗中的道路。
尾巴@逗号@蝌蚪黑黑的，尾巴长长的像语文书上的小逗号呢	脑袋大大的。
绿@碧玉@我最喜欢的就是那迷人的绿了，绿得像碧玉	在夏天中，
心@荷花@她的心像出淤泥而不染的荷花像温暖的太阳像滋润大地的细雨	总能给我们希望与力量。
谅解@春雨@谅解是一场绵绵的春雨	能洗涤飘落在人们心头的尘埃。
微笑@水@微笑是水	滋润干涸的心。
雪花@孩子@雪花像孩子一样跳着闹着	飘落下来。
晚霞@红绸子@晚霞像一块红绸子	映红了天空的脸。
生活@长河@生活如一条长河	愿你是一叶执着的小舟。
椅子@伴侣@椅子像我的伴侣	每天陪在我的身边。
悲伤@石@悲伤是石	敲灭星星之火。
长江@蛟龙@远看长江，它像一条蛟龙	在荒山野岭中蜿蜒穿梭。
春天@战士@春天像战士	它帮我们赶走冬天，让大地变得暖和起来。
书包@包袱@书包像一个沉重的包袱压在我们身上	不能喘息。
眼睛@晨星@这一双眼睛像苍山顶上的晨星	又圆又亮。
太阳@老人@太阳如老人慢慢爬上天空	向大地送去温暖。
身体@圆球@蝌蚪那小小的身体，像一粒粒黑色的小圆球	滚圆滚圆的。
寒风@钢刀@寒风犹如一把钢刀	能让你的脸无比的疼痛。
公路@黑丝带@一条宽阔的沥青公路像美丽的黑丝带一样	从北方延伸到南方。
初冬@公主@初冬像一位美丽高贵的公主	舞动着她那神奇的面纱，送来阵阵凛冽的寒风。
夜空@帷幕@夜空似藏青色的帷幕	点缀着闪闪繁星，让人不由深深地沉醉。
冬天@圣女@冬天像一位圣女	她冷漠孤傲。
春风@雪@白玉兰花迎着春风开了，像雪	一树洁白的花朵。
家风@教诲@家风像是一种无声的教诲	使我铭记在心。
小鸟@歌唱家@小鸟像一个歌唱家	在枝头唱着歌儿。
敌人@恶魔@敌人像恶魔一样使出各种招数折磨江姐	妄想使她交出重庆地下党组织人员名单。
秋天@农业家@秋天是一位伟大的农业家	你播种了各种食物。
灯罩@大伞@这盏台灯的灯柱是由七块五彩缤纷的玻璃砖连在一起拼凑而成的，精致纱制成的灯罩像一把大伞	遮住了整个灯泡。
母亲@蜡烛@母亲像点燃的蜡烛	让我看到光明。
老师@播种者@老师像播种者我们像种子	老师细心呵护帮助我们茁壮成长。
成长@电影@成长就像一场电影	要到最后一刻才可能明白。
芦苇@白雪@芦花开的时候，黄绿的芦苇上好像盖了一层厚厚的白雪	远远望去。
长城@长龙@远看长城它像一条长龙	在崇山峻岭之间蜿蜒盘旋。
月光@薄纱@皎洁的月光像一件薄纱	软软地铺在大地上。
他@兔子@他像兔子一般	一溜烟没了身影。
理想@苗@理想是苗	长成参天大树。
夜静@潭水@夜静得像一潭水	似乎所有的生灵都已经睡了，一切显得那么安谧。
父亲@北斗@父亲的爱是北斗	即使在伸手不见五指的夜里，也能让我辨明方向。
月光@旋律@月光像一曲扣人心弦的旋律	是诗人心中永恒的绝唱。
彩虹@调色盘@彩虹好似一个五彩的调色盘	随时都可能描绘出优美的图案。
春雨@泵娘@春雨像一位小泵娘	带着力量般的朝气。
灯光@群星@家家户户的窗户里射出明亮的灯光，就像天上的群星陨落人间	月明星稀的夜晚，
人生@茶@人生像是一碗茶	需细细品味。
樱花@火苗@樱花开得轰轰烈烈，像一团正在燃烧的火苗	远看樱花林，
光线@墨汁瓶@光线暗淡下去，像谁不小心打翻了墨汁瓶	天幕上染了一层黑色。
生活@菜@生活如一道道菜	菜的美味否，那就要看你这个掌勺的师傅的水平了。
爱@清泉@爱是沙漠里的一泓清泉	使濒临绝境的人重新看到生活的希望。
春雨@乳汁@春雨像母亲的乳汁	哺育着世间万物。
坚强@歌@坚强是一首歌	使人更加自信。
雪花@舞蹈家@雪花像舞蹈家	在空中一边转圈一边飘舞。
快乐@清风@快乐就像是温柔的清风	拂动人心。
秋天@孩子@秋天像淘气的孩子	用手中的水彩笔把田野涂成黄色。
乡愁@日出@乡愁就像那日出日落	不停不息。
书籍@海水@书籍是一滴滴海水	将我们引入知识的海洋。
母爱@铅笔@母爱是一支铅笔	帮我们谱写我们自己的辉煌人生。
礼仪@歌@文明礼仪像一首歌	交织着你我共同的心声。
秋天@画卷@秋天像一幅美丽的画卷	充满诗情画意。
朋友@书@朋友是一本书	总是在我困惑的时候让我找到答案。
生活@河@生活像一条河	一路奔腾，两岸总有美丽的风景。
桂花@伞兵@那些桂花就会像小伞兵一样降落在地上	当有人摇动桂花树树干后，
理想@指南针@理想像茫茫海中的指南针像黑夜道路中的一站指条路明灯像赛跑时的号角	让我为它去努力、去奋斗、去实现。
梅花@小姑娘@梅花依像一个花枝招展的小姑娘	立在风雪之中，守望心中的白马王子。
友谊@柳芽@友谊像春天里的柳芽	激活了我沉闷的生活。
童话@良药@童话是抚慰人心的良药	是一块不被污染不曾崩坏的土地。
心情@浪花@我的心情也像浪花一样欢腾	平静的湖面激起了欢乐的浪花，
祖国@诗@祖国像一首诗	字字句句都是来自天国的赞歌。
阳光@手@阳光像母亲温暖的手	抚摸着我们。
落叶@老人@落叶，像一位孤独无助的老人	徐徐落下。
荷花@少女@荷花像一位亭亭玉立的少女	端庄地站在河中央。
花@蝴蝶@蝴蝶花像一只翩翩起舞的蝴蝶在花丛中采着花粉正给自己填饱肚子还像一位亭亭玉立的少女	舞动着袅娜的腰身，跳着欢乐的舞。
红霞@火凤凰@红霞像燃烧着的火凤凰	映红了天空。
菊花@金球@啊那婀娜多姿的菊花真美啊有的如一个金球	花瓣紧紧包着花芯。
荷花@面孔@一两棵盛开的水红色的荷花，像是一个个少女含羞地露出她的红艳艳的面孔	笑脸迎人。
父亲@溪流@父亲是无声的溪流	永远那么含蓄。
白云@魔术师@白云像一个魔术师	将自己变成各种动物的形状。
人生@诗@人生如一首诗	应该多一些悠扬的抒情，少一些愁苦的叹息。
皱纹@沟壑@脸上的皱纹如沟壑一般	老人又黑又瘦，向我们诉说着岁月的无情，
太阳@孩子@太阳像一个玩累的孩子	缓缓下山了。
花@毛毛虫@杨树开了花，像一只只毛毛虫	身上长满很软的小毛。
叶子@利剑@水仙花的叶子是碧绿的，犹如一把利剑保护着花骨朵	直到花开放才慢慢地张开。
文明@灯@文明像一盏灯	照亮了你我前行的道路。
泡沫@蓝缎子@浪花激起的泡沫，像蓝缎子上绣上朵朵白花	美丽极了。
竹林@小沟@密密麻麻的竹林后面是一条小沟	越过小沟，一片农田映入你的眼帘。
地@金色@梧桐叶飘落一地，就似一张华丽的金色大地毯	远处看。
翻腾@压力@怒火在胸中翻腾，如压力过大如压力过大立刻就要爆炸的锅炉一样	如压力过大立刻就要爆炸的锅炉一样。
成功@彩虹@成功是彩虹	风雨之后才会出现。
长城@扁担@长城像长长的扁担	肩挑起祖国的复兴。
色彩@礼服@金鸡全身的羽一毛一色彩艳丽，就像披上了一件华贵的大礼服	油光发亮。
白云@风帆@天上的白云，如风帆在天海里飘游	一片片。
时间@隧道@时间是一条长长的隧道	但却不可以回头，更没有返站的列车。
红色@灯笼@熟了的草莓是红色的，像一个小灯笼	好吃极了。
颜色@火焰@枫叶的颜色，如团团燃烧的火焰	升腾着自信。
时间@巨轮@时间是隆隆前行的巨轮	能把谎言辗得尸骨无存。
花@小孩子@牵牛花远远地看像一群小孩子	活泼向上。
大龙虾@勇士@大龙虾，活像披甲戴盔的勇士	在月光下。
心里@蜜@心里像酿了蜜一样的甜	庄稼汉们站在地头，
学校@圣地@学校是纯洁的圣地	学校是幸福的花园，学校是真正的天堂。
进泉@丝绢@夕阳融进泉中，如一匹飘拂着的柔软丝绢	跳动着万块碎金。
童年@星星@童年是天上的星星	每当回忆的时候总感觉温馨。
月光@薄纱@月光下，像罩了一层薄纱	树木、房屋、土堆。
明月@玉盘@天空中有一轮玉盘似的明月	静静地挂在天空。
冬天@魔术师@冬天像个魔术师	它用“雪”这个道具装扮了整个世界。
杨梅树@伞撑@杨梅树枝繁叶茂，像一把大伞撑在池塘边上	高大挺拔。
故乡@森林@故乡像森林	有着绿树的清凉。
爱心@晨光@爱心是一缕黎明到来的晨光	使频临绝境的人重新看到生活的希望。
校园@家@校园是家	我在那里度过青春岁月。
自信@天@自信是天	带给我们无比的信心。
木棉花@烈火@木棉花像一团团烈火热烈而奔放它们像一把把火炬	神圣而庄严。
晨雾@顽皮@晨雾像个顽皮的精灵	在施展魔术，挥动着那块奇幻的纱幕来迷惑人。
时间@箭@时间像一把箭	射出去便不会再回来。
亲情@快乐@亲情是团聚时无限的快乐	快乐着你的平安及归来。
桃花@脸@桃花像害羞了一样，脸通红通红的	春天到了，
麦田@海洋@麦田翻滚，好像是一片金色的海洋	远远望去，
童年@快乐@童年是快乐	唱响了人生的乐章。
希望@灯塔@希望是海边的灯塔	为远方孤舟指引方向。
高粱@支火@红红的高粱，像无数支火把	映红了天际。
雨@月@秋天的雨像一弯高悬的月	寒而不冷。
友情@药@友情是迷茫中的一剂清醒药	促使你迷途知返。
翅膀@翅膀@蜻蜓的翅膀像飞机的翅膀	多么美丽。
鼓励@咖啡@鼓励是疲惫的一杯浓浓的咖啡	当我软弱时喝一杯便会精神振奋。
友谊@影子@友谊是一直默默跟随身后的影子	当整个世界离你而去时，才发现只有他坚定不移。
时间@皮鞭@时间是一把皮鞭	它能鞭策我们追赶人生的目标。
毛@头巾@头上的毛像橄榄色的头巾	绣满了翠绿色的花纹。
后腿@白雪@兔子躬着身子用后腿在地上使劲一弹，像飞起了一团白雪	呼的一声直窜出去。
栈道@飘带@山腰盘旋的那曲折险峻的实木栈道，如缕缕飘带缠绕在绿水青山之中	成为一道独特的亮丽风景。
声音@乐曲@那悦耳的声音，仿佛是一首波动人心弦的乐曲	远处是的小溪流，
牡丹花@少女@牡丹花开了，像位翩翩起舞的少女	绽放出了久违的笑容。
父亲@伞@父亲像一把伞	让我和母亲靠在他的身边，为我们挡风遮雨。
孤独@阳光@孤独就像阳光	到头来才发现可以拥抱的只有身影。
春风@彩笔@春风如同一只彩笔	把整个世界勾画得绚丽多彩。
文字@蛇@那文字仿佛是蛇在流沙上滑行	扭曲的，却在微微的恐怖中流露出一种优美。
妈妈@大伞@妈妈像一把大伞	在急风骤雨中为儿女撑起一个温馨的港湾。
微笑@灯塔@微笑是大海上的一座灯塔	指引着迷途的你的方向。
生命@歌谣@生命是一首飘荡在夜空的歌谣	使孤苦无依的人获得心灵的慰借。
野花@笑脸@草地上开满了野花，像一个个笑脸	美丽极了。
母爱@小船@母爱如一叶小船	载着我们驶向人生的彼岸。
霞光@火焰@那映照在浪峰上的霞光，简直就像一片片霍霍燃烧着的火焰	又红又亮。
光影@飞蛾@晶亮的雪花在光影里闪闪烁烁，像一群群洁白的小飞蛾	路灯亮了，
苔藓@铺@地上长着厚厚的苔藓，像铺上了一层绿	踩上去软绵绵的。
奋斗@云@奋斗是云	落下霏霏细雨。
理想@云@理想是云	落下霏霏细雨。
松鼠@降落伞@松鼠很机灵，像一个飘飘荡荡的降落伞一样	从树上跳下来。
阳光@小溪@阳光如一条条金色的小溪	流淌在一片片的桃花中，让粉嫩的桃花更加鲜美动人。
记忆@海@记忆像一片海	是那么飘渺。
老鼠@老太太@老鼠像裹了脚的老太太一样小步跑	四只细小的脚轮番交替着，速度却很快。
草原@画@草原多么像一幅没有框子的画	广漠得望不到边际。
雪花@茸毛@雪花儿飘飘，雪花正像一片片茸毛飘落下来	我抬头仰视天空。
爱心@歌谣@爱心是一首飘荡在无边夜空的歌谣	使孤苦无依的人获得心灵上的慰藉。
爱情@暖风@爱情是夏季里的暖风	安抚着恋人不安的情怀。
红豆@玛瑙@熟透了的小红豆像玛瑙	和那茂密的绿叶组成了一把小花伞，真惹人喜爱啊。
白星@蜡烛@太白星像有人留意地擎着走的蜡烛一般	悄悄地闪烁着出此刻天空上方。
老师@粉笔@老师像一根根粉笔	在黑板上无私奉献的教授我们知识。
天空@母亲@夏天的天空像母亲包容大地与白云	大地在她身下苍茫，白云在她怀里嬉戏。
花朵@喇叭@一朵朵盛开的花朵像一个个小小的喇叭	美丽极了。
叶子@手掌@绿萝的叶子，更像小朋友们合拢的手掌	碧绿碧绿的。
桃花@火@千万丛桃花开得如火如荼	如一片香火海。
自信@灯塔@自信就是海中的灯塔	为你点亮未来的路。
梦想@阳@梦想是阳	照亮前进的路。
车@喝醉@车像喝醉了酒似的	欹斜摇摆地缓行着。
宽容@清水@宽容是一提清水	能抹去人们满腔的愤怒。
胡萝卜@美术@胡萝卜好像一个美术老师	教会我们为健康涂满颜色。
池塘@公鸡@这朵莲花在池塘里，像一只公鸡一样	金鸡独立。
星星@眼睛@天空中的星星像明亮的眼睛	一闪一闪的。
海面@红绸@绚丽的朝霞映在辽阔的海面上，像仙女剪下的红绸	把大海装点得格外艳丽。
老师@百科全书@老师像一本百科全书	收纳着所有相关的百科知识，什么都懂。
人@海@广场上的人多如海	红旗翻动如潮。
麦浪@海洋@麦浪翻滚，远远望去就像波浪起伏的海洋	一望无际的田野里，
光阴@沙子@光阴像手里的沙子	不论我们怎样用力的握紧，它总是不停流去。
风@音乐家@风是一位隐形的音乐家	当春天来临的时候，它化为温暖的春风。
雪花@小精灵@雪花像调皮的小精灵	给大地穿上了雪白的棉袄。
南京路@一望无际@南京路好像一望无际的	被珍珠琥珀装饰起来的灯海。
时间@生命@时间是生命	浪费了一秒钟就等于浪费了一点生命。
蘑菇@小精灵@一朵朵蘑菇白嫩嫩的，好像一个个调皮的小精灵	露出他们的小脑袋来。
嘴唇@柳叶@他灰白的嘴唇，像两片柳叶那样微微地颤动着	全无血色。
云霞@团团@满天的云霞一会儿像百合色的团团棉花	一会儿像金色的波浪。
火焰@枫叶@燃烧的火焰像盛开的枫叶	美丽极了。
书@良药@书是人类的良药	帮助人们医治愚昧的顽症。
天空@是@天空像是一块幕布	五颜六色的气球像缀在上面的花纹缓缓贴在幕布上。
梦想@明灯@梦想是一盏明灯	给你照亮前程。
家@灯@家是一盏灯	家是一个屋檐，家是一张柔软的床。
泪珠@珍珠@晶莹的泪珠，像断了线的珍珠	滚下面颊。
橱窗@画展@那一个个精心布置的橱窗就像一幅幅美丽的画展现在人们面前	街道两旁商店林立，
母爱@灯塔@母爱如海岸的灯塔	指引我们前行的方向。
花@使者@迎春花像春天的使者	早早的就开了。
耳朵@棉花糖@小白兔的耳朵像一根棉花糖一样	软软的真可爱。
梦想@风@梦想是天边的风	来去匆匆追之不及。
花瓣@球@看那金绣球的花瓣一层裹着一层，如一个金色的绒线球	一瓣挨着一瓣。
爱情@咖啡@爱情像咖啡一样浓烈	只要你细细品味，你就会发现其中的甘甜。
队伍@蛇@队伍像一条长蛇	大家都在静静地等着。
麦子@金子@麦子熟了，像铺了一地的金子	一片金黄。
豌豆@翡翠@绿莹莹的豌豆像翡翠一样，好像无数银珠似的晃眼睛	豆叶上的露水。
盔甲@战士@鳄鱼披着盔甲像个战士	这只鳄鱼是宽吻鳄，
排树@少女@那一排柳排树就像少女一般	美丽的的发丝和她那身影倒映在水中。
心@栗子@你把我的心像栗子一样拨开	撕碎，真的好伤心啊。
时间@天平@时间是一架天平	它能称量奋斗者成果的重量。
教师@烛光@教师是烛光	有人说，燃烧自己释放光芒，
父亲@春风@父亲的爱像春天里的春风	吹拂着我的心灵。
爱@清泉@爱就像一泓清泉	让你的情感即使蒙上岁月的风尘依然纯洁明亮。
友谊@蜜糖@友谊如蜜糖	我们一同品尝，甜蜜一滴滴渗入心田。
东西@海洋@世界上最宽阔的东西是海洋	比海洋更宽阔的是天空，比天空更宽阔的是人的心灵。
春风@云@玉兰花迎着春风开了，像云	一树洁白的花朵。
自信@蕴藏@自信，是一种蕴藏的美丽	散发在周围朋友们的心里。
水池@翡翠@公园的右边是一个水池，绿得像一块无瑕的翡翠	池中的水静而绿。
花坛@宫殿@花坛像一个小宫殿	真美丽。
星星@蝎子@几颗星星也连在一起，看上去好像一只巨大的、高举双螯、翘着尾巴的大蝎子	这一定就是那天蝎座了。
春天@诗@春天像一首瑰丽的诗	如梦般甜蜜，如酒般香醇。
朝阳@玻璃@晶莹的露水映着初升的朝阳，像玻璃珠子似的	一闪一闪地在树叶的尖端颤动着。
羽毛@羽毛@翠鸟头上的羽毛像橄榄色的头巾，背上的羽毛像浅绿色的春装	绣满了翠绿色的花纹。
家@港湾@家是心灵的港湾	人生的驿站；是感情的归宿，灵魂的延续。
肉垫@坐垫@还有两个黑乎乎的肉垫像坐垫一样	小猴子的脸颊是嫩红的，一条毛茸茸的尾巴总是向上翘着，
春@自然@春——是自然女神	一睡醒来就在梳妆台旁梳洗，她把凝住的流水“梳展”开。
日出@少女@早晨的日出就像一个娇羞的少女般	鲜红欲滴。
乌云@火焰@一堆堆的乌云，像青色的火焰	在无底的大海上燃烧。
手@锉@奶奶的手像锉一样	她用力地为我洗头。
星星@孩子@星星像一群顽皮的孩子在夜空中眨眼睛	天黑了，
宽容@木板@宽容是一块块木板	可以架起人与人之间的桥梁。
微笑@花@微笑是盛开在人们脸上的一朵美丽的花	时时刻刻散发着迷人的芬芳。
莲花@少女@莲花像闭月羞花的少女	在微风中轻轻飘动的那洁白无暇的裙角。
生活@颜色@生活像调色盘里面的种种颜色	多姿多彩，各种各样。
芙蓉@脸@那盛开的芙蓉，就像妹妹的脸	红扑扑的。
月光@流水@皎洁的月光像流水一样倾泄在大地上	世界成了一个银色的世界。
月光@柔纱@皎洁的月光，像一匹银色的柔纱	从窗口垂落下来。
梨儿@铜铃@远远望见了好大一片梨林，梨儿似万千铜铃在摇	正在一天天黄熟。
脸儿@颜色@他吓得脸儿就如七八样的颜色染的	一搭儿红一搭儿青。
声音@谗言@蝇无处不飞，那嗡嗡嗡的声音就好像恶人的谗言	令人憎恶。
水波@镜@漓江的水波平如镜	静得让你感觉不到它在流动。
母亲@阳光@母亲像阳光	我是你慈爱光辉下的一棵小草。
泉水@飘带@清澈的泉水叮叮咚咚地流淌着，就像一条银色的飘带	流向远方。
白鹅@朋友@两只白鹅像一对形影不离的好朋友	来到田野上，优雅地吃着青草。
父爱@大树@父爱是一棵大树	即使在烈日炎炎的夏日，也会为我撑起一片荫凉。
台灯@伙伴@台灯像一位至亲的伙伴	不论凌晨几点，它都会陪伴着你。
时间@溪水@时间如流淌的溪水	哗哗流过而不再回头。
蝴蝶@穿着@一群五颜六色的蝴蝶就像一群穿着不同颜色衣服小孩子	聚集在一起。
柳枝@秀发@柳枝便像少女的秀发般轻轻摆动	微风吹来，
太阳@孩子@太阳像调皮的孩子	露出头张望，慢慢的浮出水面。
春风@手@春风，你像母亲的手	温柔地抚摸着儿女们的脸庞。
思念@夜烛@思念如荧荧的夜烛	期盼你捧接垂泣到明的红泪。
树叶@小精灵@树叶像舞动的小精灵般	秋风飞来，在林间舞动，
快乐@团火@快乐是一团火	让你感到温暖。
友谊@春风@友谊像春风	徐徐吹来。
树叶@蝴蝶@树叶纷纷落下，像蝴蝶翩翩起舞	秋风扫过，
时间@野马@时间像脱缰的野马一去不回头时间像流水般逝去	一切都不再重来。
爱心@春水@爱心是一股撞开冰闸的春水	使铁石心肠受到震撼。
外表@龟裂@荔枝外表很粗糙，好像乌龟壳上的龟裂	全身布满细小决状裂片。
父亲@巨人@父亲是一个擎天的巨人	为我撑起一片生活的空间。
生活@大河@生活像淌大河	要把握好前进的方向。
长城@巨龙@长城很长如一条蜿蜒的巨龙	盘踞在祖国的大好河山上。
黄澄澄@灯笼@秋天橘子黄澄澄的像一盏盏小灯笼压满枝头	柿子树气红了脸、金黄的稻子笑弯了腰、落叶树带上了黄色的帽子、枫树穿上了红红的衣服，大山穿上了彩色的毛衣。
太阳@孩子@圆圆的太阳像一个顽皮的孩子	一下子从水下跃了出来。
雪花@雾@大片大片的雪花从天上落下来像雾一样轻盈	被风刮得在天空中直打转。
挫折@训练营@挫折是一个训练营	可以磨练你的意志与毅力。
春天@闹钟@春天像个定了时的闹钟	催醒了花草树木。
春笋@士兵@春笋像一个个士兵	严阵以待，严正有序。
阳光@根根@那刺穿云块的阳光就像根根金线	纵横交错，把浅灰、蓝灰的云朵缝成一幅美丽无比的图案。
大雾@墙@早晨的大雾是一堵墙	挡住了我的去路。
黑板@知识@黑板像一块肥沃的知识良田	老师在这里辛勤耕耘。
书@窗@书是一扇窗	只有打开了，才能看到外面的精彩世界。
海水@海兽@海水像一只愤怒的海兽	咆哮地向海岸扑来。
汽车@行驶@一排排的汽车如蚂蚁般秩序井然地行驶着	马路上车水马龙，
小溪@明镜@小溪是静的，宛如明镜一般	清晰地映出绿的树、红的花、蓝的天、白的云。
湖面@明镜@平静的湖面，好似一张明镜	真是好看极了。
山@擎天柱@那座山简直就像擎天柱	撑起了蓝天。
云彩@魔术师@云彩像一位神奇的魔术师看她有时像威风凛凛的老虎	张牙舞爪，扑向小兔子。
笋儿们@娃娃@一阵春雨过后，竹林里的笋儿们像调皮的娃娃	一个一个钻出头来。
焰火@花@天上的焰火有的如花绽放	除夕真热闹，把夜空装点得格外美丽，
形状@大象@天上有那么多形状的云有的像大象	在喝着天上的清水。
脸@冬瓜@那张苍白、圆胖、浮肿的脸像一个剥光了皮的冬瓜	插了几个窟窿。
亲情@阳光@亲情像秋日里的阳光	能在萧瑟的风雨中，温暖失落者的心田。
朋友@暖阳@朋友是冬日里的暖阳	温暖了我寒冷的心。
母亲@大树@母亲像参天的大树	让我感觉凉爽。
祖国@蓝天@祖国是蓝天	我们是小鸟在蓝天翱翔。
爱心@梅花@爱心是一朵绽放在隆粳的梅花	使饱经风霜的人感到生命的顽强。
天上@天公@看天上，像天公不小心打翻了墨水瓶	浓浓的乌云迅疾地盖住了半边天。
风@热浪@迎面的风似热浪扑来	走在路上，
石榴@灯笼@石榴像一个个红红的灯笼	挂满了树梢。
母亲@老师@母亲像威严的老师	让我学会了怎样做人。
生活@纸@生活是一张纸	你要用一生的时间来描绘出一幅动人的画卷。
母亲@冬衣@母亲如同御寒的冬衣	时刻给我温暖。
信任@橡皮擦@信任就像橡皮擦	在一次一次的错误中慢慢损耗变小。
伙伴@日子@伙伴是快乐日子里的一把吉它	尽情地为你弹奏生活的愉悦。
友谊@甘霖@友谊是久旱后的甘霖	滋润大地。
地球@奥秘@太空中的地球就像女巫手上的一颗奥秘水晶球	不断向附近绽放出冰蓝色的眩光。
母爱@绿叶@母爱是绿叶	我就是鲜花。
橡皮@毛巾@橡皮像一块脏毛巾	把我的作业本擦的黑黑的。
湖面@镜子@湖面很静，好似一面晶莹剔透的镜子	将水中的鱼儿全都倒映了出来。
云@棉絮@棉絮似的云从天上飞过	丝丝缕缕地遮住亢出黄色微光的月亮。
落叶@舞者@落叶像舞者一样从树上翩翩起舞的落了下来	美极了。
眼睛@向日葵@她那明亮的大眼睛，好像一株茁壮成长的向日葵呀	那天真活泼的笑脸。
生命@清泉@生命是一眼清泉	滋润万物给人以希望生命的内敛之美。
疑惑@苦茶@疑惑是苦茶	干涩干涩的。
茉莉花@亭亭@那茉莉花像亭亭少女玉立在草丛中	花色迷人。
幸福@水中捞月@幸福像在水中捞月	却又害怕搅碎了一弯的静谧。
生活@百科全书@生活像一本百科全书	每一页的点点滴滴都给我不一样的启示。
落叶@蝴蝶@落叶慢慢飘下来，像一只只金蝴蝶在翩翩起舞	一阵秋风吹过，
爱心@灯塔@爱心是黑夜里的一座灯塔	使迷失方向的航船找到停靠的港湾。
满园@仙女@满园的花开了，像一群美艳绝伦的仙女	五颜六色千娇百媚像一群美艳绝伦的仙女。
花儿@脸颊@花儿似那小孩子的脸颊	正笑盈盈的看着我们。
雪花@从天而降@轻盈的雪花像从天而降的精灵	轻轻地在玻璃窗上点了一下，又翩翩然地飞走了。
同学@良师@同学是成功道路上的一位良师	热情的将你引向阳光的地带。
尾巴@剪刀@有一把剪刀似的尾巴	燕子的羽毛是黑白相间的，翅膀狭长，
长城@卧龙@长城很长是盘旋在祖国沃土上的卧龙	守卫着祖国的边疆，亦守卫着爱国者心中的那块净土。
长城@长龙@长城很长，像一条长龙	在崇山峻岭之间蜿蜒盘旋。
书@钥匙@书如同一把钥匙	它能帮助我们开启心灵的智。
海洋@钻石@开始只有零星几朵花点缀在绿叶的海洋里，像精美的钻石	远远地吸引着人的眼球。
根泡@少女@栀子花的根泡在水里，就像一个正在浴池里洗澡的少女	一些叶片浮在水面。
猫@男孩@小猫活蹦乱跳，像三岁小男孩似的	天真可爱。
音乐@奇药@音乐是一种奇药	抚平心底的创伤。
昙花@女子@昙花像一个害羞的女子	晚上九点才羞羞答答的露面。
智慧@财富@智慧是财富	越多越有价值。
立交桥@道道@一座座立交桥犹如道道彩虹	环形路上，
春天@绿芽@春天像新生的绿芽	充满生命的活力，带来勃勃生机。
梦想@肥皂@梦想是肥皂	洗濯你的自私心。
羽毛@绒球@小麻雀头上的棕色羽毛又短又密，像个小小的绒球	毛茸茸的。
语文@咖啡@语文是芳香浓郁的咖啡	让人温馨浪漫。
教师@火种@教师是火种	点燃了学生的心灵之火。
故乡@伞@故乡像一把伞	陪我走过成长的道路。
声音@沉雷@她怒不可遏地吼叫着，这声音像沉雷一样滚动着	传得很远很远。
生活@白纸@生活是一张白纸	每个人都在上面写上自己的一两句话。
悲伤@黑暗@悲伤是你成长道路中的黑暗	快乐正是那黑暗里的照明灯。
地平线@玛瑙盘@太阳离开地平线了，仿佛是一块光焰夺目的玛瑙盘	红彤彤的。
柳絮@小精灵@柳絮很可爱，像一个快乐的小精灵	也很调皮。
勇气@利斧@勇气是一把利斧	清除道路中的荆棘。
草原@绸缎@草原碧绿而柔软，如同上好的绸缎	泛着光泽。
景色@画卷@那漫山遍野的景色仿佛一幅巨大的彩色画卷	天高云淡风轻，正是郊游的好时候，
唠叨@石@唠叨是石	擦出星星之火。
理想@曙光@理想是曙光	照亮夜行者的路。
霓虹灯@彩虹@远处霓虹灯像一道亮丽的彩虹	绚丽的云。
生命@细沙@生命是渺小的，像沙漠沙漠上一粒金黄的细沙	一点也不起眼。
田野@地@秋天的田野像铺了一地金子	金黄一片。
大地@绿装@大地像换上了一件绿装	春天来了，
爱心@泪@爱心是泪	凝固出人间的情。
音乐@微风@轻柔的音乐如微风拂面	吹入心房；欢快的音乐似叮咚泉水，流入心田。
刚才@丝巾@红霞的形状，有的刚才还是一匹宽大的、有着闪闪金光的丝巾	转眼间就变成了条条丝带均匀地散布在天空。
油菜花@金子@一大片一大片的油菜花开了，像地上铺满了发光的金子	远远看去。
宽容@火@宽容是冬天里的一把火	可以溶解千年积雪。
羽毛@小红帽@那只白公鸡周身的羽毛洁白无瑕，像是戴着一顶小红帽	头上的鸡冠血一样红。
真诚@鲜花@真诚是鲜花	送之于人手有余香。
蜜蜂@园丁@蜜蜂像辛勤的园丁一样	哼着小曲在花丛中采蜜。
梦想@甘泉@梦想是沙漠中的一眼甘泉	让干枯的行者看到生的希望。
老师@妈妈@老师像我们的妈妈	天天陪伴在我们生边，告诉我们一些丰富多采的知识。
云朵@棉花糖@云朵像一朵棉花糖	让人忍不住想吃掉它。
松树@祖国@一排挺拔翠绿的松树就像手握钢枪的战士保卫着我们的祖国	山脚下，
父爱@灯@父爱是一盏灯	为我照亮前进的方向。
人@大雪人@人像变成了一个大雪人在地上站着	雪花落在人们的身上，
